M26020 AAA35137.1 S000006025 YPL104W
NC_001135 NP_009917.1 S000000516 YCL010C
NC_001135 NP_009883.1 S000000552 YCL047C
NC_001135 NP_009922.2 S000000511 YCL005W
NC_001135 NP_010001.1 S000000672 YCR076C
NC_001135 NP_009944.2 S000000611 YCR018C
NC_001135 NP_009947.1 S000000613 YCR020C
NC_001135 NP_009925.1 S000000507 YCL001W
NC_001135 NP_009929.1 S000000596 YCR003W
NC_001135 NP_009897.1 S000000538 YCL033C
NC_001135 NP_976246.1 S000029705 YCL012C
NC_001135 NP_009926.1 S000007221 YCL001W-A
NC_001135 NP_009875.1 S000000561 YCL056C
NC_001135 NP_065437.1 S000007549 YCL021W-A
NC_001135 NP_009889.2 S000000547 YCL042W
NC_001135 NP_009895.1 S000000540 YCL035C
NC_001135 NP_065435.1 S000007547 YCL057C-A
NC_001135 NP_001032573.1 S000087203 YCL048W-A
J05409 AAA34664.1 S000002344 YDL185W
M22481 AAA34622.1 S000005411 YOL051W
X91067 CAA62524.1 S000005421 YOL060C
X91067 CAA62523.1 S000005422 YOL061W
X91067 CAA62522.1 S000005423 YOL062C
X91067 CAA62528.1 S000005419 YOL058W
X91067 CAA62533.1 S000005415 YOL054W
X91067 CAA62536.1 S000005412 YOL052C
L31649 AAA34487.1 S000004451 YLR459W
M25488 AAA34884.1 S000003135 YGL167C
U17015 AAC49426.1 S000001457 YIR018W
X05625 CAA29113.1 S000001885 YFL009W
NC_001146 NP_014413.1 S000005299 YNR016C
NC_001146 NP_014137.1 S000005206 YNL262W
NC_001146 NP_014128.2 S000005215 YNL271C
NC_001146 NP_014227.2 S000005116 YNL172W
NC_001146 NP_014102.1 S000005241 YNL297C
NC_001146 NP_014260.1 S000005083 YNL139C
NC_001146 NP_014157.1 S000005186 YNL242W
NC_001146 NP_014428.1 S000005314 YNR031C
NC_001146 NP_014297.1 S000005046 YNL102W
NC_001146 NP_014311.1 S000005032 YNL088W
NC_001146 NP_014468.1 S000005353 YNR070W
NC_001146 NP_014149.1 S000005194 YNL250W
NC_001146 NP_014308.1 S000005035 YNL091W
NC_001146 NP_014126.1 S000005217 YNL273W
NC_001146 NP_014344.1 S000004999 YNL054W
NC_001146 NP_014207.2 S000005136 YNL192W
NC_001146 NP_014236.1 S000005107 YNL163C
NC_001146 NP_014132.1 S000005211 YNL267W
NC_001146 NP_014121.1 S000005222 YNL278W
NC_001146 NP_014267.1 S000005076 YNL132W
NC_001146 NP_014072.2 S000005271 YNL327W
NC_001146 NP_014070.1 S000005273 YNL329C
NC_001146 NP_014276.1 S000005067 YNL123W
NC_001146 NP_014163.1 S000005180 YNL236W
NC_001146 NP_014281.1 S000005062 YNL118C
NC_001146 NP_014156.2 S000005187 YNL243W
NC_001146 NP_014375.1 S000004968 YNL023C
NC_001146 NP_014272.1 S000005071 YNL127W
NC_001146 NP_014112.1 S000005231 YNL287W
NC_001146 NP_014078.1 S000005265 YNL321W
NC_001146 NP_014086.1 S000005257 YNL313C
NC_001146 NP_014410.1 S000005296 YNR013C
NC_001146 NP_014445.1 S000005330 YNR047W
NC_001146 NP_014166.1 S000005177 YNL233W
NC_001146 NP_014287.1 S000005056 YNL112W
NC_001146 NP_014074.1 S000005269 YNL325C
NC_001146 NP_014349.1 S000004994 YNL049C
NC_001146 NP_014178.1 S000005165 YNL221C
NC_001146 NP_014317.2 S000005026 YNL082W
NC_001146 NP_014331.1 S000005012 YNL068C
NC_001146 NP_014198.1 S000005145 YNL201C
NC_001146 NP_014273.1 S000005070 YNL126W
NC_001146 NP_014101.1 S000005242 YNL298W
NC_001146 NP_014357.1 S000004986 YNL041C
NC_001146 NP_014314.1 S000005029 YNL085W
NC_001146 NP_014183.1 S000005160 YNL216W
NC_001146 NP_014143.2 S000005200 YNL256W
NC_001146 NP_014161.1 S000005182 YNL238W
NC_001146 NP_014213.2 S000005130 YNL186W
NC_001146 NP_014216.1 S000005127 YNL183C
NC_001146 NP_014431.1 S000005316 YNR033W
NC_001146 NP_014187.1 S000005156 YNL212W
NC_001146 NP_014152.1 S000005191 YNL247W
NC_001146 NP_014175.1 S000005168 YNL224C
NC_001146 NP_014088.1 S000005255 YNL311C
NC_001146 NP_014127.1 S000005216 YNL272C
NC_001146 NP_014238.1 S000005105 YNL161W
NC_001146 NP_014339.1 S000005004 YNL059C
NC_001146 NP_014141.1 S000005202 YNL258C
NC_001146 NP_014255.1 S000005088 YNL144C
NC_001146 NP_014442.1 S000005327 YNR044W
NC_001146 NP_014298.1 S000005045 YNL101W
NC_001146 NP_014377.1 S000004966 YNL021W
NC_001146 NP_014371.1 S000004972 YNL027W
NC_001146 NP_014390.2 S000004953 YNL008C
NC_001146 NP_014274.1 S000005069 YNL125C
NC_001146 NP_014353.1 S000004990 YNL045W
NC_001146 NP_014296.2 S000005047 YNL103W
NC_001146 NP_014451.1 S000005336 YNR053C
NC_001146 NP_014202.1 S000005141 YNL197C
NC_001146 NP_014120.1 S000005223 YNL279W
NC_001146 NP_014405.1 S000005291 YNR008W
NC_001146 NP_014386.2 S000004957 YNL012W
NC_001146 NP_014232.1 S000005111 YNL167C
NC_001146 NP_014284.1 S000005059 YNL115C
NC_001146 NP_014304.1 S000005039 YNL095C
NC_001146 NP_014416.1 S000005302 YNR019W
NC_001146 NP_014378.1 S000004965 YNL020C
NC_001146 NP_014223.2 S000005120 YNL176C
NC_001146 NP_014106.1 S000005237 YNL293W
NC_001146 NP_014436.1 S000005321 YNR038W
NC_001146 NP_014403.1 S000005289 YNR006W
NC_001146 NP_014338.1 S000005005 YNL061W
NC_001146 NP_014278.1 S000005065 YNL121C
NC_001146 NP_014461.1 S000005346 YNR063W
NC_001146 NP_014437.1 S000005322 YNR039C
NC_001146 NP_014359.1 S000004984 YNL039W
NC_001146 NP_014091.1 S000005252 YNL308C
NC_001146 NP_014305.1 S000005038 YNL094W
NC_001146 NP_014181.1 S000005162 YNL218W
NC_001146 NP_014453.1 S000005338 YNR055C
NC_001146 NP_014323.1 S000005020 YNL076W
NC_001146 NP_014174.1 S000005169 YNL225C
NC_001146 NP_014326.1 S000005017 YNL073W
NC_001146 NP_014124.1 S000005219 YNL275W
NC_001146 NP_014148.1 S000005195 YNL251C
NC_001146 NP_014394.2 S000004949 YNL004W
NC_001146 NP_014420.1 S000005306 YNR023W
NC_001146 NP_014454.1 S000005339 YNR056C
NC_001146 NP_014206.2 S000005137 YNL193W
NC_001146 NP_014217.1 S000005126 YNL182C
NC_001146 NP_014180.1 S000005163 YNL219C
NC_001146 NP_014427.1 S000005313 YNR030W
NC_001146 NP_014350.1 S000004993 YNL048W
NC_001146 NP_014108.1 S000005235 YNL291C
NC_001146 NP_014210.1 S000005133 YNL189W
NC_001146 NP_014150.1 S000005193 YNL249C
NC_001146 NP_014081.1 S000005262 YNL318C
NC_001146 NP_014200.1 S000005143 YNL199C
NC_001146 NP_014105.1 S000005238 YNL294C
NC_001146 NP_014322.1 S000005021 YNL077W
NC_001146 NP_014261.1 S000005082 YNL138W
NC_001146 NP_014104.1 S000005239 YNL295W
NC_001146 NP_014449.1 S000005334 YNR051C
NC_001146 NP_014158.1 S000005185 YNL241C
NC_001146 NP_014116.1 S000005227 YNL283C
NC_001146 NP_014409.1 S000005295 YNR012W
NC_001146 NP_014230.1 S000005113 YNL169C
NC_001146 NP_014257.1 S000005086 YNL142W
NC_001146 NP_014176.2 S000005167 YNL223W
NC_001146 NP_014275.1 S000005068 YNL124W
NC_001146 NP_014316.3 S000005027 YNL083W
NC_001146 NP_014159.1 S000005184 YNL240C
NC_001146 NP_014376.1 S000004967 YNL022C
NC_001146 NP_014345.1 S000004998 YNL053W
NC_001146 NP_014443.1 S000005328 YNR045W
NC_001146 NP_014467.1 S000005352 YNR069C
NC_001146 NP_014262.1 S000005081 YNL137C
NC_001146 NP_014122.1 S000005221 YNL277W
NC_001146 NP_014372.1 S000004971 YNL026W
NC_001146 NP_014328.1 S000005015 YNL071W
NC_001146 NP_014456.1 S000005341 YNR058W
NC_001146 NP_014138.1 S000005205 YNL261W
NC_001146 NP_014337.1 S000005006 YNL062C
NC_001146 NP_014423.1 S000005309 YNR026C
NC_001146 NP_014082.1 S000005261 YNL317W
NC_001146 NP_014162.1 S000005181 YNL237W
NC_001146 NP_014382.1 S000004961 YNL016W
NC_001146 NP_014358.1 S000004985 YNL040W
NC_001146 NP_014193.1 S000005150 YNL206C
NC_001146 NP_014160.2 S000005183 YNL239W
NC_001146 NP_014325.1 S000005018 YNL074C
NC_001146 NP_014233.1 S000005110 YNL166C
NC_001146 NP_014448.1 S000005333 YNR050C
NC_001146 NP_014387.1 S000004956 YNL011C
NC_001146 NP_014119.1 S000005224 YNL280C
NC_001146 NP_014271.1 S000005072 YNL128W
NC_001146 NP_014211.1 S000005132 YNL188W
NC_001146 NP_014179.1 S000005164 YNL220W
NC_001146 NP_014450.1 S000005335 YNR052C
NC_001146 NP_014426.1 S000005312 YNR029C
NC_001146 NP_014165.1 S000005178 YNL234W
NC_001146 NP_014263.1 S000005080 YNL136W
NC_001146 NP_014192.1 S000005151 YNL207W
NC_001146 NP_014146.1 S000005197 YNL253W
NC_001146 NP_014090.2 S000005253 YNL309W
NC_001146 NP_014095.2 S000005248 YNL304W
NC_001146 NP_014151.1 S000005192 YNL248C
NC_001146 NP_014076.1 S000005267 YNL323W
NC_001146 NP_014335.1 S000005008 YNL064C
NC_001146 NP_014247.1 S000005096 YNL152W
NC_001146 NP_014321.1 S000005022 YNL078W
NC_001146 NP_014218.2 S000005125 YNL181W
NC_001146 NP_014234.1 S000005109 YNL165W
NC_001146 NP_014418.1 S000005304 YNR021W
NC_001146 NP_014347.1 S000004996 YNL051W
NC_001146 NP_014107.1 S000005236 YNL292W
NC_001146 NP_014145.1 S000005198 YNL254C
NC_001146 NP_014307.1 S000005036 YNL092W
NC_001146 NP_014356.1 S000004987 YNL042W
NC_001146 NP_014441.1 S000005326 YNR043W
NC_001146 NP_014363.1 S000004980 YNL035C
NC_001146 NP_014397.1 S000004946 YNL001W
NC_001146 NP_014412.1 S000005298 YNR015W
NC_001146 NP_014169.1 S000005174 YNL230C
NC_001146 NP_014472.1 S000005357 YNR074C
NC_001146 NP_014092.1 S000005251 YNL307C
NC_001146 NP_014111.1 S000005232 YNL288W
NC_001146 NP_014393.1 S000004950 YNL005C
NC_001146 NP_014429.1 S000005315 YNR032W
NC_001146 NP_014319.1 S000005024 YNL080C
NC_001146 NP_014226.1 S000005117 YNL173C
NC_001146 NP_014361.1 S000004982 YNL037C
NC_001146 NP_014212.1 S000005131 YNL187W
NC_001146 NP_014208.1 S000005135 YNL191W
NC_001146 NP_014239.1 S000005104 YNL160W
NC_001146 NP_014170.1 S000005173 YNL229C
NC_001146 NP_014391.1 S000004952 YNL007C
NC_001146 NP_014235.1 S000005108 YNL164C
NC_001146 NP_014168.1 S000005175 YNL231C
NC_001146 NP_014135.1 S000005208 YNL264C
NC_001146 NP_014125.1 S000005218 YNL274C
NC_001146 NP_014315.1 S000005028 YNL084C
NC_001146 NP_014258.1 S000005085 YNL141W
NC_001146 NP_014433.1 S000005318 YNR035C
NC_001146 NP_014109.1 S000005234 YNL290W
NC_001146 NP_014073.1 S000005270 YNL326C
NC_001146 NP_014083.2 S000005260 YNL316C
NC_001146 NP_014219.1 S000005124 YNL180C
NC_001146 NP_014302.1 S000005041 YNL097C
NC_001146 NP_014098.1 S000005245 YNL301C
NC_001146 NP_014460.1 S000005345 YNR062C
NC_001146 NP_014182.1 S000005161 YNL217W
NC_001146 NP_014373.1 S000004970 YNL025C
NC_001146 NP_014396.1 S000004947 YNL002C
NC_001146 NP_014115.1 S000005228 YNL284C
NC_001146 NP_014184.1 S000005159 YNL215W
NC_001146 NP_014084.1 S000005259 YNL315C
NC_001146 NP_014400.1 S000005286 YNR003C
NC_001146 NP_014424.1 S000005310 YNR027W
NC_001146 NP_014452.1 S000005337 YNR054C
NC_001146 NP_014336.1 S000005007 YNL063W
NC_001146 NP_014136.1 S000005207 YNL263C
NC_001146 NP_014077.1 S000005266 YNL322C
NC_001146 NP_014404.1 S000005290 YNR007C
NC_001146 NP_014087.1 S000005256 YNL312W
NC_001146 NP_014222.2 S000005121 YNL177C
NC_001146 NP_014425.1 S000005311 YNR028W
NC_001146 NP_014327.1 S000005016 YNL072W
NC_001146 NP_014303.1 S000005040 YNL096C
NC_001146 NP_014392.1 S000004951 YNL006W
NC_001146 NP_014348.1 S000004995 YNL050C
NC_001146 NP_014195.1 S000005148 YNL204C
NC_001146 NP_014243.1 S000005100 YNL156C
NC_001146 NP_014203.1 S000005140 YNL196C
NC_001146 NP_014094.1 S000005249 YNL305C
NC_001146 NP_014153.1 S000005190 YNL246W
NC_001146 NP_014167.1 S000005176 YNL232W
NC_001146 NP_014324.1 S000005019 YNL075W
NC_001146 NP_014462.1 S000005347 YNR064C
NC_001146 NP_014240.1 S000005103 YNL159C
NC_001146 NP_014113.1 S000005230 YNL286W
NC_001146 NP_014395.1 S000004948 YNL003C
NC_001146 NP_014079.1 S000005264 YNL320W
NC_001146 NP_014366.1 S000004977 YNL032W
NC_001146 NP_014147.1 S000005196 YNL252C
NC_001146 NP_014110.1 S000005233 YNL289W
NC_001146 NP_014244.1 S000005099 YNL155W
NC_001146 NP_014466.1 S000005351 YNR068C
NC_001146 NP_014189.1 S000005154 YNL210W
NC_001146 NP_014417.1 S000005303 YNR020C
NC_001146 NP_014204.2 S000005139 YNL195C
NC_001146 NP_014231.1 S000005112 YNL168C
NC_001146 NP_014438.1 S000005323 YNR040W
NC_001146 NP_014085.1 S000005258 YNL314W
NC_001146 NP_014251.1 S000005092 YNL148C
NC_001146 NP_014360.2 S000004983 YNL038W
NC_001146 NP_014248.1 S000005095 YNL151C
NC_001146 NP_014406.1 S000005292 YNR009W
NC_001146 NP_014374.1 S000004969 YNL024C
NC_001146 NP_014199.1 S000005144 YNL200C
NC_001146 NP_014388.1 S000004955 YNL010W
NC_001146 NP_014270.1 S000005073 YNL129W
NC_001146 NP_014221.1 S000005122 YNL178W
NC_001146 NP_014300.1 S000005043 YNL099C
NC_001146 NP_014455.1 S000005340 YNR057C
NC_001146 NP_014299.1 S000005044 YNL100W
NC_001146 NP_014292.1 S000005051 YNL107W
NC_001146 NP_014415.1 S000005301 YNR018W
NC_001146 NP_014414.1 S000005300 YNR017W
NC_001146 NP_014362.1 S000004981 YNL036W
NC_001146 NP_014289.1 S000005054 YNL110C
NC_001146 NP_014459.1 S000005344 YNR061C
NC_001146 NP_014093.1 S000005250 YNL306W
NC_001146 NP_014186.1 S000005157 YNL213C
NC_001146 NP_014411.1 S000005297 YNR014W
NC_001146 NP_014447.1 S000005332 YNR049C
NC_001146 NP_014177.1 S000005166 YNL222W
NC_001146 NP_014209.1 S000005134 YNL190W
NC_001146 NP_014191.2 S000005152 YNL208W
NC_001146 NP_014185.1 S000005158 YNL214W
NC_001146 NP_014241.1 S000005102 YNL158W
NC_001146 NP_014139.1 S000005204 YNL260C
NC_001146 NP_014342.1 S000005001 YNL056W
NC_001146 NP_014117.1 S000005226 YNL282W
NC_001146 NP_014154.1 S000005189 YNL245C
NC_001146 NP_014089.2 S000005254 YNL310C
NC_001146 NP_014266.1 S000005077 YNL133C
NC_001146 NP_014352.1 S000004991 YNL046W
NC_001146 NP_014242.1 S000005101 YNL157W
NC_001146 NP_014214.1 S000005129 YNL185C
NC_001146 NP_014346.1 S000004997 YNL052W
NC_001146 NP_014144.1 S000005199 YNL255C
NC_001146 NP_014118.1 S000005225 YNL281W
NC_001146 NP_014434.1 S000005319 YNR036C
NC_001146 NP_014268.1 S000005075 YNL131W
NC_001146 NP_014407.1 S000005293 YNR010W
NC_001146 NP_014252.2 S000005091 YNL147W
NC_001146 NP_014071.1 S000005272 YNL328C
NC_001146 NP_014401.1 S000005287 YNR004W
NC_001146 NP_014318.1 S000005025 YNL081C
NC_001146 NP_014419.1 S000005305 YNR022C
NC_001146 NP_014444.1 S000005329 YNR046W
NC_001146 NP_014130.1 S000005213 YNL269W
NC_001146 NP_014155.1 S000005188 YNL244C
NC_001146 NP_014099.1 S000005244 YNL300W
NC_001146 NP_014188.1 S000005155 YNL211C
NC_001146 NP_878157.1 S000028850 YNL042W-B
NC_001146 NP_014383.1 S000004960 YNL015W
NC_001146 NP_014140.1 S000005203 YNL259C
NC_001146 NP_878158.1 S000028698 YNL024C-A
NC_001146 NP_878151.1 S000028852 YNL277W-A
L04655 AAA35038.1 S000000999 YHL007C
M82841 AAA34793.1 S000000996 YHL004W
X03940 CAA27577.1 S000004565 YML099C
D90455 BAA14421.1 S000000170 YBL074C
X80835 CAA56794.1 S000004571 YML103C
X80835 CAA56795.1 S000004570 YML102W
X80835 CAA56796.1 S000004568 YML101C
U32517 AAB64762.1 S000002734 YDR326C
U32517 AAB64761.2 S000002733 YDR325W
U32517 AAB64760.1 S000002732 YDR324C
U32517 AAB64767.1 S000002740 YDR332W
U32517 AAB64756.1 S000002728 YDR320C
U32517 AAB64759.1 S000002731 YDR323C
U32517 AAB64765.1 S000002738 YDR330W
U32517 AAB64764.1 S000002737 YDR329C
U32517 AAB64753.1 S000002725 YDR317W
U32517 AAB64766.1 S000002739 YDR331W
U32517 AAB64758.1 S000002730 YDR322W
U32517 AAB64755.1 S000002727 YDR319C
Z49474 CAA89494.1 S000003735 YJL199C
X01420 CAA25668.1 S000004434 YLR442C
U23208 AAA70171.1 S000002563 YDR156W
U43503 AAB68251.1 S000006031 YPL110C
U43503 AAB68247.1 S000006036 YPL115C
U43503 AAB68237.1 S000006046 YPL125W
U43503 AAB68236.1 S000006047 YPL126W
U43503 AAB68252.2 S000006030 YPL109C
U43503 AAB68246.1 S000006037 YPL116W
U43503 AAB68242.1 S000006041 YPL120W
U43503 AAB68240.1 S000006043 YPL122C
U43503 AAB68239.1 S000006044 YPL123C
U43503 AAB68249.1 S000006033 YPL112C
U43503 AAB68244.1 S000006039 YPL118W
U43503 AAB68250.1 S000006032 YPL111W
U43503 AAB68245.1 S000006038 YPL117C
U43503 AAB68238.1 S000006045 YPL124W
U43503 AAB68241.1 S000006042 YPL121C
DQ115390 AAZ22448.1 S000003265 YGR033C
DQ115390 AAZ22452.1 S000003268 YGR036C
DQ115390 AAZ22444.1 S000003262 YGR030C
DQ115390 AAZ22450.1 S000003267 YGR035C
DQ115390 AAZ22453.1 S000003269 YGR037C
DQ115390 AAZ22451.1 S000028827 YGR035W-A
Z71686 CAA96354.1 S000005353 YNR070W
D12478 BAA02046.1 S000003011 YGL043W
Z49704 CAA89778.1 S000004893 YMR280C
Z49704 CAA89786.1 S000004901 YMR288W
Z49704 CAA89785.1 S000004900 YMR287C
Z49704 CAA89775.1 S000004890 YMR277W
Z49704 CAA89776.1 S000004891 YMR278W
Z49704 CAA89782.1 S000004897 YMR284W
Z49704 CAA89780.1 S000004895 YMR282C
Z49704 CAA89783.1 S000004898 YMR285C
Z49704 CAA89781.1 S000004896 YMR283C
Z49704 CAA89774.1 S000004889 YMR276W
Z49704 CAA89779.1 S000004894 YMR281W
Z49704 CAA89784.1 S000004899 YMR286W
Z75252 CAA99671.1 S000005871 YOR344C
Z74056 CAA98564.1 S000002166 YDL008W
L22015 AAC04955.2 S000000002 YAL002W
L22015 AAC04956.1 S000000001 YAL001C
L22015 AAC04965.1 S000000072 YAR019C
L22015 AAC04962.2 S000000069 YAR014C
L22015 AAC04960.1 S000000065 YAR007C
L22015 AAC04957.1 S000000063 YAR002W
L22015 AAC04948.1 S000000008 YAL010C
L22015 AAC04964.1 S000000071 YAR018C
L22015 AAC04959.1 S000000064 YAR003W
L22015 AAC04954.1 S000000003 YAL003W
L22015 AAC04963.1 S000000070 YAR015W
L22015 AAC04961.1 S000000066 YAR008W
L22015 AAC04949.1 S000000007 YAL009W
L22015 AAC04950.1 S000000006 YAL008W
X94106 CAA63834.1 S000003092 YGL124C
X94106 CAA63833.1 S000003093 YGL125W
M29067 AAA66311.1 S000001595 YKL112W
Z75047 CAA99338.1 S000005666 YOR140W
Z75171 CAA99486.1 S000005790 YOR264W
Z72598 CAA96781.1 S000003044 YGL076C
X97751 CAA66342.1 S000002308 YDL149W
X97751 CAA66337.1 S000002313 YDL154W
X97751 CAA66343.1 S000002307 YDL148C
X97751 CAA66335.1 S000002315 YDL156W
X97751 CAA66345.1 S000002305 YDL146W
X97751 CAA66344.1 S000002306 YDL147W
X97751 CAA66334.1 S000002316 YDL157C
Z36131 CAA85225.1 S000000466 YBR262C
Z35981 CAA85069.1 S000000316 YBR112C
Z54141 CAA90835.1 S000004936 YMR317W
Z54141 CAA90831.1 S000004930 YMR313C
Z54141 CAA90837.1 S000004938 YMR319C
Z54141 CAA90833.1 S000004932 YMR315W
Z54141 CAA90834.1 S000004935 YMR316W
Z54141 CAA90828.1 S000004927 YMR310C
Z54141 CAA90830.1 S000004929 YMR312W
Z54141 CAA90832.1 S000004931 YMR314W
Z54141 CAA90829.1 S000004928 YMR311C
Z54141 CAA90839.1 S000004940 YMR321C
Z54141 CAA90838.1 S000004939 YMR320W
Z72724 CAA96914.1 S000003170 YGL202W
Z71553 CAA96188.1 S000005221 YNL277W
U15653 AAA61904.1 S000000920 YER118C
M37696 AAB59347.1 S000003813 YJR052W
L26347 AAA62860.1 S000003813 YJR052W
L26347 AAA62858.1 S000003811 YJR050W
U23488 AAA64377.1 S000001114 YHR072W
M93350 AAA35212.1 S000001602 YKL119C
M85200 AAA34724.1 S000003942 YLL019C
D11472 BAA02029.1 S000001602 YKL119C
X06790 CAA29947.1 S000004430 YLR438W
U42227 AAA85443.1 S000005856 YOR329C
Z74081 CAA98591.1 S000002191 YDL033C
X03245 CAA27003.1 S000005728 YOR202W
M29146 AAA34423.1 S000003124 YGL156W
M29146 AAA34422.1 S000003124 YGL156W
U30626 AAC49609.1 S000001458 YIR019C
M23440 AAA34545.1 S000000316 YBR112C
X16908 CAA34781.1 S000006292 YPR088C
X76245 CAA53824.1 S000005964 YPL043W
L26309 AAB00326.1 S000000870 YER068W
U33335 AAB68089.1 S000005937 YPL016W
U33335 AAB68093.1 S000005933 YPL012W
U33335 AAB68099.1 S000005927 YPL006W
U33335 AAB68096.1 S000005930 YPL009C
U33335 AAB68097.1 S000005929 YPL008W
U33335 AAB68100.1 S000005926 YPL005W
U33335 AAB68098.1 S000005928 YPL007C
U33335 AAB68102.1 S000005924 YPL003W
U33335 AAB68091.1 S000005935 YPL014W
U33335 AAB68104.1 S000005922 YPL001W
U33335 AAB68090.1 S000005936 YPL015C
U33335 AAB68094.1 S000005932 YPL011C
U33335 AAB68103.1 S000005923 YPL002C
U33335 AAB68095.1 S000005931 YPL010W
U33335 AAB68092.1 S000005934 YPL013C
X62627 CAA44495.1 S000003044 YGL076C
X73488 CAB58180.1 S000000863 YER061C
Z54075 CAA90780.1 S000002448 YDR041W
Z54075 CAA90781.1 S000002449 YDR042C
M63385 AAA35144.1 S000000327 YBR123C
Z74949 CAA99232.1 S000005568 YOR042W
Z73534 CAA97885.1 S000006099 YPL178W
U19102 AAB67750.1 S000004344 YLR352W
U19102 AAB67749.1 S000004345 YLR353W
U19102 AAB67753.1 S000004347 YLR355C
U19102 AAB67751.1 S000004343 YLR351C
U19102 AAB67748.1 S000004348 YLR356W
U14132 AAA21385.1 S000003567 YJL030W
D86325 BAA13067.1 S000003409 YGR177C
Z75043 CAA99335.1 S000005662 YOR136W
L09721 AAA34912.1 S000003959 YLL036C
M80922 AAA35142.1 S000000327 YBR123C
M76550 AAA99990.1 S000002379 YDL220C
X81324 CAA57104.1 S000000221 YBR017C
X81324 CAA57105.1 S000000222 YBR018C
Z75232 CAA99644.1 S000005851 YOR324C
Z49807 CAA89901.1 S000004706 YMR100W
Z49807 CAA89899.1 S000004704 YMR098C
Z49807 CAA89898.1 S000004703 YMR097C
Z49807 CAA89902.1 S000004707 YMR101C
Z49807 CAA89900.1 S000004705 YMR099C
Z28146 CAA81988.1 S000001629 YKL146W
Z73026 CAA97270.1 S000003473 YGR241C
Z49646 CAA89680.1 S000003908 YJR147W
Z49646 CAA89679.1 S000003907 YJR146W
X85021 CAA59385.1 S000003645 YJL109C
X85021 CAA59392.1 S000003638 YJL102W
X85021 CAA59393.1 S000003637 YJL101C
X85021 CAA59388.1 S000003642 YJL106W
X85021 CAA59391.1 S000003639 YJL103C
X85021 CAA59394.1 S000003636 YJL100W
X85021 CAA59389.1 S000003641 YJL105W
X85021 CAA59384.1 S000003646 YJL110C
X85021 CAA59383.1 S000003647 YJL111W
X85021 CAA59387.1 S000003643 YJL107C
X85021 CAA59386.1 S000003644 YJL108C
X85021 CAA59390.1 S000003640 YJL104W
U43703 AAB68223.1 S000006058 YPL137C
U43703 AAB68219.1 S000006062 YPL141C
U43703 AAB68230.1 S000006049 YPL128C
U43703 AAB68216.1 S000006067 YPL146C
U43703 AAB68226.1 S000006054 YPL133C
U43703 AAB68222.1 S000006059 YPL138C
U43703 AAB68227.1 S000006053 YPL132W
U43703 AAB68228.1 S000006052 YPL131W
U43703 AAB68235.1 S000006050 YPL129W
U43703 AAB68231.1 S000006048 YPL127C
U43703 AAB68229.1 S000006051 YPL130W
U43703 AAB68232.1 S000006065 YPL144W
Z72902 CAA97125.1 S000003349 YGR117C
Z38059 CAA86149.1 S000001391 YIL129C
Z38059 CAA86119.1 S000001421 YIL159W
Z38059 CAA86131.1 S000001409 YIL147C
Z38059 CAA86127.1 S000001413 YIL151C
Z38059 CAA86122.1 S000001418 YIL156W
Z38059 CAA86148.1 S000001392 YIL130W
Z38059 CAA86141.1 S000001399 YIL137C
Z38059 CAA86135.1 S000001405 YIL143C
Z38059 CAA86138.1 S000001402 YIL140W
Z38059 CAA86134.1 S000001406 YIL144W
Z38059 CAA86123.1 S000001417 YIL155C
Z38059 CAA86128.1 S000001412 YIL150C
Z38059 CAA86132.1 S000001408 YIL146C
Z38059 CAA86136.1 S000001404 YIL142W
Z38059 CAA86147.1 S000001393 YIL131C
Z38059 CAA86143.1 S000001397 YIL135C
Z38059 CAA86118.1 S000001422 YIL160C
Z38059 CAA86142.1 S000001398 YIL136W
Z38059 CAA86125.1 S000001415 YIL153W
Z38059 CAA86124.1 S000001416 YIL154C
Z38059 CAA86144.1 S000001396 YIL134W
Z38059 CAA86139.1 S000001401 YIL139C
Z38059 CAA86126.1 S000001414 YIL152W
Z38059 CAA86117.1 S000001423 YIL161W
Z38059 CAA86146.1 S000001394 YIL132C
Z38059 CAA86120.1 S000001420 YIL158W
Z38059 CAA86137.1 S000001403 YIL141W
Z49556 CAA89584.1 S000003817 YJR056C
S44213 AAB23072.2 S000001604 YKL121W
S44213 AAB23071.2 S000001603 YKL120W
S44213 AAB23073.1 S000001605 YKL122C
J03546 AAA66921.1 S000003623 YJL087C
J03546 AAA66920.1 S000003622 YJL086C
U17244 AAB67384.1 S000004262 YLR272C
U17244 AAB67376.1 S000004253 YLR263W
U17244 AAB67383.1 S000004256 YLR266C
U17244 AAB67377.1 S000004250 YLR260W
U17244 AAB67380.1 S000004249 YLR259C
U17244 AAB67374.1 S000004257 YLR267W
U17244 AAB67382.1 S000004255 YLR265C
U17244 AAB67379.1 S000004247 YLR257W
U17244 AAB67371.1 S000004261 YLR271W
U17244 AAB67373.1 S000004258 YLR268W
U17244 AAB67386.1 S000004259 YLR269C
U17244 AAB67375.1 S000004254 YLR264W
U23084 AAC49101.1 S000005241 YNL297C
U23084 AAC49100.1 S000005242 YNL298W
U23084 AAC49106.1 S000005237 YNL293W
U23084 AAC49109.1 S000005235 YNL291C
U23084 AAC49105.1 S000005238 YNL294C
U23084 AAC49104.1 S000005239 YNL295W
U23084 AAC49108.1 S000005236 YNL292W
U23084 AAC49110.1 S000005234 YNL290W
U23084 AAC49097.1 S000005245 YNL301C
